Epoch 91/1500: Actor=5.2418381805419925, Critic=0.10714110374450683
Epoch 92/1500: Actor=5.2152373962402345, Critic=0.11983069682121276
Epoch 93/1500: Actor=5.187869094848633, Critic=0.11144605302810669
Epoch 94/1500: Actor=5.143815811157227, Critic=0.11637835597991944
Epoch 95/1500: Actor=5.0888519287109375, Critic=0.10991940450668335
Epoch 96/1500: Actor=5.075027908325195, Critic=0.1191509644985199
Epoch 97/1500: Actor=5.048974838256836, Critic=0.11634308791160583
Epoch 98/1500: Actor=5.015764190673828, Critic=0.11532170295715333
Epoch 99/1500: Actor=4.952841674804687, Critic=0.11798042464256286
Epoch 100/1500: Actor=4.9476070251464845, Critic=0.11349153542518615
Epoch 101/1500: Actor=4.903928955078125, Critic=0.11519675803184509
Epoch 102/1500: Actor=4.850637344360352, Critic=0.11411766695976257
Epoch 103/1500: Actor=4.828798599243164, Critic=0.11478540539741516
Epoch 104/1500: Actor=4.808600952148438, Critic=0.11517298126220703
Epoch 105/1500: Actor=4.74184927368164, Critic=0.11769886088371277
Epoch 106/1500: Actor=4.714615280151367, Critic=0.11650714015960693
Epoch 107/1500: Actor=4.678177581787109, Critic=0.11034813809394836
Epoch 108/1500: Actor=4.627582901000976, Critic=0.11954956102371216
Epoch 109/1500: Actor=4.61879866027832, Critic=0.11742277336120606
Epoch 110/1500: Actor=4.584347610473633, Critic=0.11818382000923157
Epoch 111/1500: Actor=4.549909072875977, Critic=0.1140470941066742
Epoch 112/1500: Actor=4.5312417755126955, Critic=0.11266956734657288
Epoch 113/1500: Actor=4.476912750244141, Critic=0.12047244119644165
Epoch 114/1500: Actor=4.439676055908203, Critic=0.10865003442764282
Epoch 115/1500: Actor=4.410850769042969, Critic=0.12774735832214357
Epoch 116/1500: Actor=4.383480087280273, Critic=0.11800381517410279
Epoch 117/1500: Actor=4.369575424194336, Critic=0.11882532095909118
Epoch 118/1500: Actor=4.337568267822266, Critic=0.11335352277755738
Epoch 119/1500: Actor=4.3163805694580075, Critic=0.11769327902793884
Epoch 120/1500: Actor=4.256459564208984, Critic=0.1242513370513916
Epoch 121/1500: Actor=4.244567291259766, Critic=0.1190675117969513
Epoch 122/1500: Actor=4.189083770751953, Critic=0.12101032853126525
Epoch 123/1500: Actor=4.178417770385742, Critic=0.11807250761985778
Epoch 124/1500: Actor=4.158732078552246, Critic=0.11825548219680786
Epoch 125/1500: Actor=4.160617752075195, Critic=0.12123785781860351
Epoch 126/1500: Actor=4.132982406616211, Critic=0.12445954394340515
Epoch 127/1500: Actor=4.084561492919922, Critic=0.12203527069091796
Epoch 128/1500: Actor=4.056361351013184, Critic=0.12065201950073243
Epoch 129/1500: Actor=4.024941360473632, Critic=0.1251374409198761
Epoch 130/1500: Actor=3.972286346435547, Critic=0.11892406845092773
Epoch 131/1500: Actor=3.955177787780762, Critic=0.11713158702850342
Epoch 132/1500: Actor=3.9334075546264646, Critic=0.121709028840065
Epoch 133/1500: Actor=3.887262435913086, Critic=0.1210680730342865
Epoch 134/1500: Actor=3.902661392211914, Critic=0.12020234513282776
Epoch 135/1500: Actor=3.8517642288208007, Critic=0.11828233671188354
Epoch 136/1500: Actor=3.797274932861328, Critic=0.1133674590587616
Epoch 137/1500: Actor=3.7966797332763673, Critic=0.11937653541564941
Epoch 138/1500: Actor=3.7551079025268557, Critic=0.12183325242996215
Epoch 139/1500: Actor=3.775174575805664, Critic=0.11977828121185302
Epoch 140/1500: Actor=3.715173309326172, Critic=0.11280509924888611
Epoch 141/1500: Actor=3.689105453491211, Critic=0.11417789673805237
Epoch 142/1500: Actor=3.6517780075073243, Critic=0.11228325152397156
Epoch 143/1500: Actor=3.6413217697143554, Critic=0.11886176133155822
Epoch 144/1500: Actor=3.64186075592041, Critic=0.11597120141983032
Epoch 145/1500: Actor=3.588284408569336, Critic=0.12024817037582397
Epoch 146/1500: Actor=3.58297639465332, Critic=0.12385396599769592
Epoch 147/1500: Actor=3.5752997512817384, Critic=0.11891487050056458
Epoch 148/1500: Actor=3.5179158248901365, Critic=0.11780315208435059
Epoch 149/1500: Actor=3.4864112930297853, Critic=0.1235965793132782
Epoch 150/1500: Actor=3.5012407608032228, Critic=0.11732310032844544
Epoch 151/1500: Actor=3.4670148162841796, Critic=0.11943654203414918
Epoch 152/1500: Actor=3.45039737701416, Critic=0.12070015454292297
Epoch 153/1500: Actor=3.41475456237793, Critic=0.11229118704795837
Epoch 154/1500: Actor=3.4229873123168946, Critic=0.11671694493293762
Epoch 155/1500: Actor=3.403595947265625, Critic=0.11658518981933594
Epoch 156/1500: Actor=3.390080780029297, Critic=0.11225519943237304
Epoch 157/1500: Actor=3.346000617980957, Critic=0.11881036448478699
Epoch 158/1500: Actor=3.3114607849121094, Critic=0.11723073267936707
Epoch 159/1500: Actor=3.3325535049438475, Critic=0.12098160076141358
Epoch 160/1500: Actor=3.3029917373657227, Critic=0.12075667929649353
Epoch 161/1500: Actor=3.263568618774414, Critic=0.10769344234466553
Epoch 162/1500: Actor=3.2664996032714844, Critic=0.11418321084976196
Epoch 163/1500: Actor=3.2556991729736326, Critic=0.1199057548046112
Epoch 164/1500: Actor=3.2473855895996095, Critic=0.11641327166557312
Epoch 165/1500: Actor=3.2098420639038086, Critic=0.11243114733695984
Epoch 166/1500: Actor=3.1695228271484375, Critic=0.10914306163787842
Epoch 167/1500: Actor=3.174996292114258, Critic=0.11173976194858551
Epoch 168/1500: Actor=3.176644844055176, Critic=0.12241720008850097
Epoch 169/1500: Actor=3.1563231887817382, Critic=0.11405431962013245
Epoch 170/1500: Actor=3.139399948120117, Critic=0.11677241849899292
Epoch 171/1500: Actor=3.10952921295166, Critic=0.11194049429893493
Epoch 172/1500: Actor=3.096282081604004, Critic=0.108607515335083
Epoch 173/1500: Actor=3.069643440246582, Critic=0.11245472741127015
Epoch 174/1500: Actor=3.072217056274414, Critic=0.11926078248023987
Epoch 175/1500: Actor=3.08851522064209, Critic=0.11171686625480652
Epoch 176/1500: Actor=3.0899843368530275, Critic=0.11396746683120727
Epoch 177/1500: Actor=3.0516383056640626, Critic=0.11230232906341553
Epoch 178/1500: Actor=3.047115562438965, Critic=0.11454084753990174
Epoch 179/1500: Actor=3.020201950073242, Critic=0.11157159233093261
Epoch 180/1500: Actor=3.019149505615234, Critic=0.11271852111816406
Epoch 181/1500: Actor=2.9941975173950195, Critic=0.11437873101234436
Epoch 182/1500: Actor=2.967688980102539, Critic=0.11436603093147278
Epoch 183/1500: Actor=2.990693717956543, Critic=0.11009236931800842
Epoch 184/1500: Actor=2.9404178161621095, Critic=0.108705069065094
Epoch 185/1500: Actor=2.916602638244629, Critic=0.1125095911026001
Epoch 186/1500: Actor=2.9310274505615235, Critic=0.11349964690208435
Epoch 187/1500: Actor=2.946942108154297, Critic=0.11094510579109192
Epoch 188/1500: Actor=2.949466178894043, Critic=0.1129437096118927
Epoch 189/1500: Actor=2.9366240005493163, Critic=0.11360484075546265
Epoch 190/1500: Actor=2.9414855575561525, Critic=0.1133643593788147
Epoch 191/1500: Actor=2.922413040161133, Critic=0.11335447502136231
Epoch 192/1500: Actor=2.8583573837280274, Critic=0.109338050365448
Epoch 193/1500: Actor=2.8597495346069337, Critic=0.11054779219627381
Epoch 194/1500: Actor=2.8438457260131838, Critic=0.11193415188789367
Epoch 195/1500: Actor=2.8560288619995116, Critic=0.10771313691139221
Epoch 196/1500: Actor=2.849430114746094, Critic=0.10829162955284119
Epoch 197/1500: Actor=2.8233118667602537, Critic=0.10855491304397583
Epoch 198/1500: Actor=2.78991561126709, Critic=0.11022828578948975
Epoch 199/1500: Actor=2.7928472366333006, Critic=0.10873917865753174
Epoch 200/1500: Actor=2.815080749511719, Critic=0.10873495244979858
Epoch 201/1500: Actor=2.7680137557983397, Critic=0.10645864248275756
Epoch 202/1500: Actor=2.7673124389648436, Critic=0.10433527636528016
Epoch 203/1500: Actor=2.7663238372802734, Critic=0.10753707885742188
Epoch 204/1500: Actor=2.771422523498535, Critic=0.11008073544502259
Epoch 205/1500: Actor=2.7461995544433595, Critic=0.10937730932235717
Epoch 206/1500: Actor=2.7298406295776365, Critic=0.1057184021472931
Epoch 207/1500: Actor=2.7169015502929685, Critic=0.10266112542152404
Epoch 208/1500: Actor=2.6934621429443357, Critic=0.10639830565452575
Epoch 209/1500: Actor=2.6934470443725584, Critic=0.10565411615371705
Epoch 210/1500: Actor=2.690571090698242, Critic=0.10399906373023987
Epoch 211/1500: Actor=2.6904097442626953, Critic=0.10617081046104432
Epoch 212/1500: Actor=2.6691106338500976, Critic=0.1080757737159729
Epoch 213/1500: Actor=2.6689999008178713, Critic=0.10798279666900634
Epoch 214/1500: Actor=2.668131423950195, Critic=0.11257414650917054
Epoch 215/1500: Actor=2.657868865966797, Critic=0.10488884115219116
Epoch 216/1500: Actor=2.6272157287597655, Critic=0.10018649113178253
Epoch 217/1500: Actor=2.636689353942871, Critic=0.10942663216590881
Epoch 218/1500: Actor=2.6230806274414062, Critic=0.09856311392784119
Epoch 219/1500: Actor=2.598258758544922, Critic=0.10152948451042175
Epoch 220/1500: Actor=2.614105438232422, Critic=0.1004804801940918
Epoch 221/1500: Actor=2.588264991760254, Critic=0.10551612257957459
Epoch 222/1500: Actor=2.602884635925293, Critic=0.09844398093223572
Epoch 223/1500: Actor=2.574179832458496, Critic=0.10037141966819763
Epoch 224/1500: Actor=2.5411357040405274, Critic=0.09637585687637329
Epoch 225/1500: Actor=2.5553531341552733, Critic=0.10124896883964539
Epoch 226/1500: Actor=2.551220275878906, Critic=0.09954745268821716
Epoch 227/1500: Actor=2.5518649673461913, Critic=0.1036221740245819
Epoch 228/1500: Actor=2.5425594863891603, Critic=0.0965616090297699
