Epoch 0/1500: Actor=6.076908767700195, Critic=2.707948974609375
Epoch 1/1500: Actor=6.379365737915039, Critic=2.5494233131408692
Epoch 2/1500: Actor=6.469424362182617, Critic=2.4615303802490236
Epoch 3/1500: Actor=6.583484756469726, Critic=2.372517360687256
Epoch 4/1500: Actor=6.697045669555664, Critic=2.1840616188049315
Epoch 5/1500: Actor=6.838867416381836, Critic=2.034701068878174
Epoch 6/1500: Actor=6.977002136230468, Critic=1.783367172241211
Epoch 7/1500: Actor=7.146350006103516, Critic=1.5902711372375489
Epoch 8/1500: Actor=7.284131011962891, Critic=1.5037490615844726
Epoch 9/1500: Actor=7.417434677124024, Critic=1.419201976776123
Epoch 10/1500: Actor=7.558933181762695, Critic=1.268087797164917
Epoch 11/1500: Actor=7.6599989624023435, Critic=1.212997257232666
Epoch 12/1500: Actor=7.770844467163086, Critic=1.0025803604125976
Epoch 13/1500: Actor=7.8297463836669925, Critic=0.9697769155502319
Epoch 14/1500: Actor=7.909068557739258, Critic=0.9255350208282471
Epoch 15/1500: Actor=7.938153335571289, Critic=0.8299316463470459
Epoch 16/1500: Actor=7.958930999755859, Critic=0.7881909198760987
Epoch 17/1500: Actor=8.006020477294921, Critic=0.7661236219406128
Epoch 18/1500: Actor=7.98447834777832, Critic=0.6080183153152465
Epoch 19/1500: Actor=7.983117584228515, Critic=0.5831850624084473
Epoch 20/1500: Actor=7.966866943359375, Critic=0.5902414426803589
Epoch 21/1500: Actor=7.929350601196289, Critic=0.5525698556900024
Epoch 22/1500: Actor=7.901227554321289, Critic=0.5393099827766419
Epoch 23/1500: Actor=7.814949081420899, Critic=0.49515232467651366
Epoch 24/1500: Actor=7.753092147827148, Critic=0.47399811935424807
Epoch 25/1500: Actor=7.719667541503906, Critic=0.4640462779998779
Epoch 26/1500: Actor=7.636196792602539, Critic=0.4498915309906006
Epoch 27/1500: Actor=7.561713409423828, Critic=0.43949446773529055
Epoch 28/1500: Actor=7.4673897094726565, Critic=0.42681940746307373
Epoch 29/1500: Actor=7.388013565063477, Critic=0.3808866429328919
Epoch 30/1500: Actor=7.2744359893798825, Critic=0.3868949775695801
Epoch 31/1500: Actor=7.181790756225586, Critic=0.3608674535751343
Epoch 32/1500: Actor=7.0393811798095705, Critic=0.37700450468063357
Epoch 33/1500: Actor=6.939469528198242, Critic=0.37829196643829344
Epoch 34/1500: Actor=6.8240260314941406, Critic=0.3596003098487854
Epoch 35/1500: Actor=6.681998397827148, Critic=0.36288162231445314
Epoch 36/1500: Actor=6.559867462158203, Critic=0.31540267658233645
Epoch 37/1500: Actor=6.425298690795898, Critic=0.3285236258506775
Epoch 38/1500: Actor=6.291385940551757, Critic=0.30253029012680055
Epoch 39/1500: Actor=6.133211151123047, Critic=0.324891526222229
Epoch 40/1500: Actor=6.008517440795899, Critic=0.28918426036834716
Epoch 41/1500: Actor=5.868313934326172, Critic=0.30944314074516294
Epoch 42/1500: Actor=5.720681503295898, Critic=0.28063374328613283
Epoch 43/1500: Actor=5.556313232421875, Critic=0.29808811378479005
Epoch 44/1500: Actor=5.431517883300781, Critic=0.26755959224700926
Epoch 45/1500: Actor=5.281823257446289, Critic=0.28238323783874514
Epoch 46/1500: Actor=5.135314224243164, Critic=0.29578065729141234
Epoch 47/1500: Actor=4.988657440185547, Critic=0.24643050456047058
Epoch 48/1500: Actor=4.871280288696289, Critic=0.2620077714920044
Epoch 49/1500: Actor=4.749613265991211, Critic=0.23415761756896972
Epoch 50/1500: Actor=4.635960067749023, Critic=0.25182448053359985
Epoch 51/1500: Actor=4.4911690521240235, Critic=0.20228021788597106
Epoch 52/1500: Actor=4.3539268493652346, Critic=0.24546792435646056
Epoch 53/1500: Actor=4.211856796264648, Critic=0.22841092205047608
Epoch 54/1500: Actor=4.080104545593262, Critic=0.20787491154670715
Epoch 55/1500: Actor=3.9480729293823242, Critic=0.23459993624687195
Epoch 56/1500: Actor=3.831276809692383, Critic=0.20311651635169983
Epoch 57/1500: Actor=3.7230913925170896, Critic=0.2071054856777191
Epoch 58/1500: Actor=3.6169691162109374, Critic=0.2214656138420105
Epoch 59/1500: Actor=3.4973280639648436, Critic=0.23441757345199585
Epoch 60/1500: Actor=3.3817578201293945, Critic=0.22467181968688965
Epoch 61/1500: Actor=3.2711808166503906, Critic=0.20370809817314148
Epoch 62/1500: Actor=3.17436540222168, Critic=0.2099570608139038
Epoch 63/1500: Actor=3.0579425354003904, Critic=0.20929185628890992
Epoch 64/1500: Actor=2.9409004440307616, Critic=0.2073073308467865
Epoch 65/1500: Actor=2.831837661743164, Critic=0.2154802670478821
Epoch 66/1500: Actor=2.720461845397949, Critic=0.2033784065246582
Epoch 67/1500: Actor=2.612113960266113, Critic=0.21349366354942323
Epoch 68/1500: Actor=2.536978820800781, Critic=0.2157784118652344
Epoch 69/1500: Actor=2.426539115905762, Critic=0.21163126707077026
