Epoch 0/1325: Actor=6.206573532104493, Critic=2.7712980041503905
Epoch 1/1325: Actor=6.486779403686524, Critic=2.818197937011719
Epoch 2/1325: Actor=6.549657897949219, Critic=2.6446099586486818
Epoch 3/1325: Actor=6.672407470703125, Critic=2.488008743286133
Epoch 4/1325: Actor=6.781645950317383, Critic=2.3278477210998534
Epoch 5/1325: Actor=6.911327514648438, Critic=2.070873176574707
Epoch 6/1325: Actor=7.048382049560547, Critic=1.8806635665893554
Epoch 7/1325: Actor=7.161375625610352, Critic=1.7496712379455566
Epoch 8/1325: Actor=7.2972892456054685, Critic=1.5597000846862792
Epoch 9/1325: Actor=7.418466323852539, Critic=1.4688281364440918
Epoch 10/1325: Actor=7.605321228027344, Critic=1.3271792907714843
Epoch 11/1325: Actor=7.700941177368164, Critic=1.1625697479248047
Epoch 12/1325: Actor=7.780494674682617, Critic=1.157233413696289
Epoch 13/1325: Actor=7.867900100708008, Critic=0.9375208387374878
Epoch 14/1325: Actor=7.962292846679688, Critic=0.8856836242675781
Epoch 15/1325: Actor=8.013165847778321, Critic=0.7482648801803589
Epoch 16/1325: Actor=8.032048278808594, Critic=0.6780775175094604
Epoch 17/1325: Actor=8.03921354675293, Critic=0.6627629127502441
Epoch 18/1325: Actor=8.061892730712891, Critic=0.5843571972846985
Epoch 19/1325: Actor=8.063498046875, Critic=0.597930510520935
Epoch 20/1325: Actor=8.037098831176758, Critic=0.5398590965270996
Epoch 21/1325: Actor=8.007322250366212, Critic=0.46457704830169677
Epoch 22/1325: Actor=7.974003753662109, Critic=0.5202153940200805
Epoch 23/1325: Actor=7.888251159667969, Critic=0.49463471221923827
Epoch 24/1325: Actor=7.871435256958008, Critic=0.43172532272338865
Epoch 25/1325: Actor=7.791650817871094, Critic=0.3984581151008606
Epoch 26/1325: Actor=7.748750061035156, Critic=0.4108404998779297
Epoch 27/1325: Actor=7.659676330566406, Critic=0.4465170822143555
Epoch 28/1325: Actor=7.5770622253417965, Critic=0.3691250190734863
Epoch 29/1325: Actor=7.5105189666748045, Critic=0.38925138568878176
Epoch 30/1325: Actor=7.410369354248047, Critic=0.37248218870162964
Epoch 31/1325: Actor=7.329752014160157, Critic=0.3687166328430176
Epoch 32/1325: Actor=7.221550308227539, Critic=0.367540180683136
Epoch 33/1325: Actor=7.137282516479492, Critic=0.3293282074928284
Epoch 34/1325: Actor=7.03822769165039, Critic=0.3252917070388794
Epoch 35/1325: Actor=6.939762222290039, Critic=0.3304346113204956
Epoch 36/1325: Actor=6.828526397705078, Critic=0.3263774471282959
Epoch 37/1325: Actor=6.721550064086914, Critic=0.27092748737335204
Epoch 38/1325: Actor=6.615837417602539, Critic=0.3156659407615662
Epoch 39/1325: Actor=6.490579849243164, Critic=0.27481024885177613
Epoch 40/1325: Actor=6.377835327148437, Critic=0.2726182918548584
Epoch 41/1325: Actor=6.257054168701172, Critic=0.24750818586349488
Epoch 42/1325: Actor=6.135070892333984, Critic=0.277301468372345
Epoch 43/1325: Actor=6.021115707397461, Critic=0.2394371898174286
Epoch 44/1325: Actor=5.906954147338867, Critic=0.22679170727729797
Epoch 45/1325: Actor=5.767391860961914, Critic=0.21530361461639405
Epoch 46/1325: Actor=5.633544021606445, Critic=0.1919394655227661
Epoch 47/1325: Actor=5.5325619506835935, Critic=0.1807355237007141
Epoch 48/1325: Actor=5.415134490966797, Critic=0.18256467723846437
Epoch 49/1325: Actor=5.310110107421875, Critic=0.19659707498550416
Epoch 50/1325: Actor=5.216071365356445, Critic=0.191904944896698
Epoch 51/1325: Actor=5.096873992919922, Critic=0.18375063157081603
Epoch 52/1325: Actor=5.001780319213867, Critic=0.16666275143623352
Epoch 53/1325: Actor=4.887353393554688, Critic=0.1714962830543518
Epoch 54/1325: Actor=4.781899047851563, Critic=0.14585664916038513
Epoch 55/1325: Actor=4.703017120361328, Critic=0.1562531316280365
Epoch 56/1325: Actor=4.577823333740234, Critic=0.13371070957183837
Epoch 57/1325: Actor=4.4656670227050785, Critic=0.14669815421104432
Epoch 58/1325: Actor=4.36789680480957, Critic=0.15585550451278687
Epoch 59/1325: Actor=4.260927383422851, Critic=0.12523997068405152
Epoch 60/1325: Actor=4.148020126342773, Critic=0.126624577999115
Epoch 61/1325: Actor=4.04737858581543, Critic=0.15301750779151915
Epoch 62/1325: Actor=3.9505330505371092, Critic=0.1404781458377838
Epoch 63/1325: Actor=3.8523747329711915, Critic=0.14284014296531677
Epoch 64/1325: Actor=3.7543051223754884, Critic=0.13668378949165344
Epoch 65/1325: Actor=3.6427923278808594, Critic=0.12547459828853608
Epoch 66/1325: Actor=3.5580015792846678, Critic=0.1186246075630188
Epoch 67/1325: Actor=3.4579865646362307, Critic=0.12628886425495148
Epoch 68/1325: Actor=3.3743483123779296, Critic=0.11851905751228332
Epoch 69/1325: Actor=3.2690968017578124, Critic=0.11639297807216645
Epoch 70/1325: Actor=3.1864513397216796, Critic=0.11220611763000489
Epoch 71/1325: Actor=3.088793228149414, Critic=0.11040883862972259
Epoch 72/1325: Actor=2.9841374435424806, Critic=0.10709025406837464
Epoch 73/1325: Actor=2.891533432006836, Critic=0.10850752305984497
Epoch 74/1325: Actor=2.7957103424072267, Critic=0.10723227763175965
Epoch 75/1325: Actor=2.7117554626464844, Critic=0.1073874204158783
Epoch 76/1325: Actor=2.620132438659668, Critic=0.10308804106712341
Epoch 77/1325: Actor=2.520816940307617, Critic=0.10511773598194123
Epoch 78/1325: Actor=2.4428469161987305, Critic=0.1110192232131958
Epoch 79/1325: Actor=2.3604013824462893, Critic=0.09979192304611206
Epoch 80/1325: Actor=2.275621757507324, Critic=0.10339176702499389
Epoch 81/1325: Actor=2.2114979705810547, Critic=0.10988578379154205
Epoch 82/1325: Actor=2.1304797134399416, Critic=0.11396866345405579
Epoch 83/1325: Actor=2.051504638671875, Critic=0.10204330503940583
Epoch 84/1325: Actor=1.9741759834289552, Critic=0.09580686461925507
Epoch 85/1325: Actor=1.9114815788269044, Critic=0.0927136218547821
Epoch 86/1325: Actor=1.841421070098877, Critic=0.095082355260849
Epoch 87/1325: Actor=1.764305233001709, Critic=0.10058151984214783
Epoch 88/1325: Actor=1.6923608512878419, Critic=0.10114276814460754
Epoch 89/1325: Actor=1.6256438751220703, Critic=0.08717009317874909
Epoch 90/1325: Actor=1.559031639099121, Critic=0.09597678995132446
Epoch 91/1325: Actor=1.493106719970703, Critic=0.10493190956115722
Epoch 92/1325: Actor=1.4206605529785157, Critic=0.09062699520587922
Epoch 93/1325: Actor=1.3596075096130371, Critic=0.09251131987571716
Epoch 94/1325: Actor=1.3080042152404785, Critic=0.09390490007400512
Epoch 95/1325: Actor=1.247739402770996, Critic=0.08598920381069183
Epoch 96/1325: Actor=1.1844883041381835, Critic=0.0825697214603424
Epoch 97/1325: Actor=1.1394326171875, Critic=0.08201255393028259
Epoch 98/1325: Actor=1.077362117767334, Critic=0.08066570055484772
Epoch 99/1325: Actor=1.0269185466766357, Critic=0.08528469157218933
Epoch 100/1325: Actor=0.9727962036132812, Critic=0.07808736991882324
Epoch 101/1325: Actor=0.9228563995361329, Critic=0.07900084900856018
Epoch 102/1325: Actor=0.879969596862793, Critic=0.073797172665596
Epoch 103/1325: Actor=0.832576810836792, Critic=0.0782503833770752
Epoch 104/1325: Actor=0.7886421203613281, Critic=0.0764474447965622
Epoch 105/1325: Actor=0.7456559677124024, Critic=0.07925475037097932
Epoch 106/1325: Actor=0.7173688507080078, Critic=0.0751262035369873
Epoch 107/1325: Actor=0.6786796054840087, Critic=0.07294251883029938
Epoch 108/1325: Actor=0.6463206691741943, Critic=0.06662556743621827
Epoch 109/1325: Actor=0.6176121368408203, Critic=0.06807077646255494
Epoch 110/1325: Actor=0.5948749370574952, Critic=0.06304035925865173
Epoch 111/1325: Actor=0.5669560222625732, Critic=0.06131709551811218
Epoch 112/1325: Actor=0.5403380126953125, Critic=0.06337242805957795
Epoch 113/1325: Actor=0.5137935256958008, Critic=0.06025632059574127
Epoch 114/1325: Actor=0.49212601280212404, Critic=0.06260712814331054
Epoch 115/1325: Actor=0.47812097454071045, Critic=0.05758505868911743
Epoch 116/1325: Actor=0.46056691265106203, Critic=0.0637851734161377
Epoch 117/1325: Actor=0.44246395778656006, Critic=0.057595038533210755
Epoch 118/1325: Actor=0.4313216562271118, Critic=0.05185861146450043
Epoch 119/1325: Actor=0.4235070743560791, Critic=0.05713444972038269
Epoch 120/1325: Actor=0.4157885265350342, Critic=0.05064118790626526
Epoch 121/1325: Actor=0.40954408740997317, Critic=0.05359277892112732
Epoch 122/1325: Actor=0.40161556911468504, Critic=0.05203562903404236
Epoch 123/1325: Actor=0.40069238185882566, Critic=0.04785525941848755
Epoch 124/1325: Actor=0.40284913635253905, Critic=0.04690441560745239
Epoch 125/1325: Actor=0.40815900802612304, Critic=0.04617552077770233
Epoch 126/1325: Actor=0.4110730218887329, Critic=0.04426006460189819
Epoch 127/1325: Actor=0.41392872905731204, Critic=0.04237955981492996
Epoch 128/1325: Actor=0.42150116539001464, Critic=0.04073842930793762
Epoch 129/1325: Actor=0.42678861236572263, Critic=0.04250188416242599
Epoch 130/1325: Actor=0.44001491165161133, Critic=0.0334039226770401
Epoch 131/1325: Actor=0.45464749813079836, Critic=0.04083322936296463
Epoch 132/1325: Actor=0.47051175594329836, Critic=0.04049648341536522
Epoch 133/1325: Actor=0.4835925054550171, Critic=0.03787162572145462
Epoch 134/1325: Actor=0.5011423740386963, Critic=0.032307939112186435
Epoch 135/1325: Actor=0.5221451635360718, Critic=0.03568611806631088
Epoch 136/1325: Actor=0.5434786491394042, Critic=0.03463445168733597
Epoch 137/1325: Actor=0.5639033679962158, Critic=0.034361623167991635
Epoch 138/1325: Actor=0.5887688980102539, Critic=0.03151221975684166
Epoch 139/1325: Actor=0.6134952201843261, Critic=0.028295600309967996
Epoch 140/1325: Actor=0.6453180427551269, Critic=0.031906608402729034
Epoch 141/1325: Actor=0.670747652053833, Critic=0.026523724406957626
Epoch 142/1325: Actor=0.7022461585998535, Critic=0.030342620879411697
Epoch 143/1325: Actor=0.7353203392028809, Critic=0.02753545704483986
Epoch 144/1325: Actor=0.7718327980041504, Critic=0.029422946363687516
Epoch 145/1325: Actor=0.8025552406311035, Critic=0.02543352633714676
Epoch 146/1325: Actor=0.840414228439331, Critic=0.025813274145126342
Epoch 147/1325: Actor=0.879464994430542, Critic=0.030193745344877242
Epoch 148/1325: Actor=0.9121712474822998, Critic=0.02904833298921585
Epoch 149/1325: Actor=0.9560330085754395, Critic=0.026587422609329222
Epoch 150/1325: Actor=0.9985292339324952, Critic=0.026790429458022118
Epoch 151/1325: Actor=1.0389224739074707, Critic=0.026986519277095795
Epoch 152/1325: Actor=1.0819465217590332, Critic=0.02851638361811638
Epoch 153/1325: Actor=1.1274886703491211, Critic=0.028601346909999846
Epoch 154/1325: Actor=1.173561393737793, Critic=0.031059424608945847
Epoch 155/1325: Actor=1.2166146659851074, Critic=0.029313600063323973
Epoch 156/1325: Actor=1.2660350494384767, Critic=0.03096496242284775
Epoch 157/1325: Actor=1.3160945358276368, Critic=0.02463070350885391
Epoch 158/1325: Actor=1.364318717956543, Critic=0.02827335959672928
Epoch 159/1325: Actor=1.4213601150512696, Critic=0.028831757262349128
Epoch 160/1325: Actor=1.4708027725219726, Critic=0.03194165997207165
Epoch 161/1325: Actor=1.5224609146118164, Critic=0.02998786324262619
Epoch 162/1325: Actor=1.5750263023376465, Critic=0.030125063478946685
Epoch 163/1325: Actor=1.6293350830078126, Critic=0.030870170414447784
Epoch 164/1325: Actor=1.6742181663513183, Critic=0.029250945031642914
Epoch 165/1325: Actor=1.7275146675109863, Critic=0.028810543313622476
Epoch 166/1325: Actor=1.7802604026794433, Critic=0.034853643894195555
